feature,category
XP_035810117.1,pigmentation
XP_023146312.1,pigmentation
XP_023146313.1,pigmentation
XP_023140478.2,pigmentation
XP_054867811.1,pigmentation
XP_054867812.1,pigmentation
XP_023143433.1,pigmentation
XP_054862586.1,pigmentation
XP_023139672.1,pigmentation
XP_023143476.1,pigmentation
XP_023143477.1,pigmentation
XP_023149616.2,pigmentation
XP_023132095.1,pigmentation
XP_023141217.1,pigmentation
XP_023132191.1,pigmentation
XP_023137043.1,pigmentation
XP_035813078.2,pigmentation
XP_035813079.2,pigmentation
XP_023131798.1,pigmentation
XP_023145986.2,pigmentation
XP_035813125.2,pigmentation
XP_023154246.1,pigmentation
XP_035798911.1,pigmentation
XP_023122016.1,pigmentation
XP_023122017.1,pigmentation
XP_023152881.2,pigmentation
XP_023127445.1,pigmentation
XP_054872884.1,pigmentation
XP_023128196.2,pigmentation
XP_023153991.1,pigmentation
XP_035813109.2,pigmentation
XP_023145954.2,pigmentation
XP_023136298.1,pigmentation
XP_023140182.1,pigmentation
XP_023143035.2,pigmentation
XP_035811242.1,pigmentation
XP_035811243.1,pigmentation
XP_023141067.1,pigmentation
XP_023141068.1,pigmentation
XP_054867939.1,pigmentation
XP_054867940.1,pigmentation
XP_054865258.1,pigmentation
XP_023140524.2,pigmentation
XP_035810736.1,pigmentation
XP_023123556.1,pigmentation
XP_054868214.1,pigmentation
XP_023127591.2,pigmentation
XP_023127592.2,pigmentation
XP_023132384.1,pigmentation
XP_035802441.2,pigmentation
XP_035802442.1,pigmentation
XP_023131365.1,pigmentation
XP_023131366.1,pigmentation
XP_054864285.1,pigmentation
XP_054864286.1,pigmentation
XP_054871437.1,pigmentation
XP_054871438.1,pigmentation
XP_023150016.1,pigmentation
XP_023120395.1,pigmentation
XP_023122831.2,pigmentation
XP_023147317.1,pigmentation
XP_023148826.1,pigmentation
XP_023148827.1,pigmentation
XP_035802184.2,pigmentation
XP_023120446.1,pigmentation
XP_023144490.1,pigmentation
XP_023144491.1,pigmentation
XP_023153190.1,pigmentation
XP_023142462.1,pigmentation
XP_054873619.1,pigmentation
XP_054873620.1,pigmentation
XP_023125898.1,pigmentation
XP_023125899.1,pigmentation
XP_023132182.1,pigmentation
XP_023119285.2,pigmentation
XP_023135455.1,pigmentation
XP_054873482.1,pigmentation
XP_023132413.1,pigmentation
XP_023152218.1,pigmentation
XP_035800918.2,pigmentation
XP_023119162.2,pigmentation
XP_023122462.1,pigmentation
XP_023136409.1,pigmentation
XP_035808878.1,pigmentation
XP_035806944.2,pigmentation
XP_023132157.2,pigmentation
XP_054873626.1,pigmentation
XP_023120584.1,pigmentation
XP_023150710.1,pigmentation
XP_023137329.1,pigmentation
XP_023144920.1,pigmentation
XP_023122586.2,pigmentation
XP_054868366.1,pigmentation
XP_023134541.2,pigmentation
XP_023134542.2,pigmentation
XP_023155662.1,pigmentation
XP_023121727.1,pigmentation
XP_023121728.1,pigmentation
XP_023146203.1,pigmentation
XP_023124535.2,pigmentation
XP_054873896.1,pigmentation
XP_054872119.1,pigmentation
XP_054872120.1,pigmentation
XP_023155369.1,pigmentation
XP_035805715.2,pigmentation
XP_023129676.2,pigmentation
XP_023149127.2,pigmentation
XP_035806522.2,pigmentation
XP_023131250.2,pigmentation
XP_054874583.1,pigmentation
XP_054874584.1,pigmentation
XP_023123380.2,pigmentation
XP_023151678.1,pigmentation
XP_023151679.1,pigmentation
XP_023127711.1,pigmentation
XP_023127712.1,pigmentation
XP_023122760.1,pigmentation
XP_035802590.1,pigmentation
XP_035811694.2,pigmentation
XP_035811695.2,pigmentation
XP_054868663.1,pigmentation
XP_023127595.1,pigmentation
XP_023144670.1,pigmentation
XP_023147014.2,pigmentation
XP_035809389.1,pigmentation
XP_035809390.1,pigmentation
XP_023155636.1,pigmentation
XP_023143869.1,pigmentation
XP_054862047.1,pigmentation
XP_023133529.2,pigmentation
XP_023152276.1,pigmentation
XP_035813523.1,pigmentation
XP_035813528.1,pigmentation
XP_023138698.1,pigmentation
XP_023153812.2,pigmentation
XP_023132950.1,pigmentation
XP_054863324.1,pigmentation
XP_054868502.1,pigmentation
XP_054868503.1,pigmentation
XP_054873307.1,pigmentation
XP_035801013.2,pigmentation
XP_023139086.1,pigmentation
XP_023125203.1,pigmentation
XP_023118313.1,pigmentation
XP_023144203.2,pigmentation
XP_054862656.1,pigmentation
XP_054862657.1,pigmentation
XP_023136423.1,pigmentation
XP_035809320.2,pigmentation
XP_023137186.1,pigmentation
XP_023152168.1,pigmentation
XP_023152169.1,pigmentation
XP_023140584.2,pigmentation
XP_023150989.2,pigmentation
XP_035809389.1,pigmentation
XP_035809390.1,pigmentation
XP_054865958.1,pigmentation
XP_054865959.1,pigmentation
XP_023141811.2,pigmentation
XP_023151609.1,pigmentation
XP_023151610.1,pigmentation
XP_054875178.1,pigmentation
XP_023149448.1,pigmentation
XP_023145937.1,pigmentation
XP_023126140.1,pigmentation
XP_023153638.2,pigmentation
XP_023153639.2,pigmentation
XP_023129095.1,pigmentation
XP_054870870.1,pigmentation
XP_054870871.1,pigmentation
XP_054872645.1,pigmentation
XP_054872646.1,pigmentation
XP_023132844.1,pigmentation
XP_023126986.2,pigmentation
XP_023120117.2,pigmentation
XP_023124590.1,pigmentation
XP_023137343.1,pigmentation
XP_054867610.1,pigmentation
XP_023152952.1,pigmentation
XP_023127445.1,pigmentation
XP_054872884.1,pigmentation
XP_054867024.1,pigmentation
XP_023136701.2,pigmentation
XP_023136702.2,pigmentation
XP_054875288.1,pigmentation
XP_023139744.1,pigmentation
XP_023139274.1,pigmentation
XP_054868453.1,pigmentation
XP_054868454.1,pigmentation
XP_023144314.1,pigmentation
XP_023144315.1,pigmentation
XP_035808736.1,pigmentation
XP_035803874.2,pigmentation
XP_023125652.2,pigmentation
XP_054874236.1,pigmentation
XP_054874237.1,pigmentation
XP_035802534.2,pigmentation
XP_023144490.1,pigmentation
XP_023144491.1,pigmentation
XP_054862470.1,pigmentation
XP_054862471.1XP_054862472.1,pigmentation
XP_023134130.1,vision
XP_035797667.1,vision
XP_023124847.1,vision
XP_023134091.2,vision
XP_023138529.1,vision
XP_023136104.1,vision
XP_023136022.1,vision
XP_023117682.1,vision
XP_054873258.1,vision
XP_054873259.1,vision
XP_023119396.2,vision
XP_023124293.2,vision
XP_054872889.1,vision
XP_054866265.1,vision
XP_054866266.1,vision
XP_054863370.1,vision
XP_023144868.2,vision
XP_054875438.1,vision
XP_035803761.1,vision
XP_035803762.1,vision
XP_035811213.2,vision
XP_035811214.2,vision
XP_035800160.1,vision
XP_035800161.1,vision
XP_054863277.1,vision
XP_054863289.1,vision
XP_023154730.2,vision
XP_035799101.2,vision
XP_023149780.1,vision
XP_023145499.1,vision
XP_023120267.1,vision
XP_035801474.1,vision
XP_023143188.2,vision
XP_035811788.2,vision
XP_023129912.1,vision
XP_035805821.1,vision
XP_035804538.1,vision
XP_023133264.1,vision
XP_023142240.1,vision
XP_023147279.1,vision
XP_023154704.1,vision
XP_023150805.1,vision
XP_035797614.1,vision
XP_023149061.1,vision
XP_023136484.2,vision
XP_035808881.1,vision
XP_023131364.1,vision
XP_023118551.1,vision
XP_035797451.1,vision
XP_023134951.1,vision
XP_023154705.2,vision
XP_023126953.2,vision
XP_054868274.1,vision
XP_035811985.2,vision
XP_023143440.2,vision
XP_023123735.1,vision
XP_035802913.1,vision
XP_023132764.2,vision
XP_023120135.1,vision
XP_023140509.1,vision
XP_023126383.1,vision
XP_023134900.1,vision
XP_023135434.1,vision
XP_023117828.1,vision
XP_054861428.1,vision
XP_054861429.1,vision
XP_023124334.1,vision
XP_023124335.1,vision
XP_023135803.2,vision
XP_023135802.2,vision
