feature,category
XP_023138960.1,digestion
XP_054869484.1,digestion
XP_054869486.1,digestion
XP_023153782.1,digestion
XP_035798695.1,digestion
XP_035799967.2,digestion
XP_023154725.1,digestion
XP_023133564.2,digestion
XP_054872927.1,digestion
XP_023148557.2,digestion
XP_054873503.1,digestion
XP_023153761.1,digestion
XP_023136776.1,digestion
XP_035809077.1,digestion
XP_023128139.1,digestion
XP_023128141.1,digestion
XP_023146367.2,digestion
XP_023146368.2,digestion
XP_023128797.1,digestion
XP_023124156.1,gastrointestinal
XP_054861058.1,gastrointestinal
XP_023149404.1,gastrointestinal
XP_023127333.2,gastrointestinal
XP_023128346.2,gastrointestinal
XP_035805126.2,gastrointestinal
XP_023128350.2,gastrointestinal
XP_023148644.2,gastrointestinal
XP_023137418.2,gastrointestinal
XP_023137429.1,gastrointestinal
XP_023137412.2,gastrointestinal
XP_035809417.2,gastrointestinal
XP_023124491.2,gastrointestinal
XP_035803273.2,gastrointestinal
XP_023124401.1,gastrointestinal
XP_023149956.1,gastrointestinal
XP_054870427.1,gastrointestinal
XP_023148370.1,gastrointestinal
XP_023148371.1,gastrointestinal
XP_023146071.1,gastrointestinal
XP_023121914.,gastrointestinal
XP_023130336.1,gastrointestinal
XP_023146722.1,gastrointestinal
XP_035813658.1,gastrointestinal
XP_023147211.1,gastrointestinal
XP_054870783.1,corticoids
XP_023131914.1,corticoids
XP_023135851.2,corticoids
XP_035801418.2,corticoids
XP_023125446.2,corticoids
XP_023149252.1,corticoids
XP_054860658.1,corticoids
XP_023126124.1,corticoids
XP_023153795.2,corticoids
XP_054869619.1,corticoids
XP_023118572.1,corticoids
XP_035800618.1,corticoids
XP_023155196.2,corticoids
XP_023136386.1,corticoids
XP_023128547.2,corticoids
XP_023129168.1,corticoids
XP_023120919.1,corticoids
XP_035801798.1,corticoids
XP_054873147.1,corticoids
XP_054873148.1,corticoids
XP_023141149.1,corticoids
XP_023125135.1,corticoids
XP_023129182.1,corticoids
XP_023155573.1,corticoids
XP_023118011.2,corticoids
XP_023139672.1,corticoids
XP_023143476.1,corticoids
XP_023143477.1,corticoids
XP_023149616.2,corticoids
XP_035808571.2,corticoids
XP_023135711.2,corticoids
XP_023125453.1,corticoids
XP_023119906.1,corticoids
XP_023130376.1,corticoids
XP_023148944.1,thyroid
XP_035800614.1,thyroid
XP_023118556.1,thyroid
XP_023151649.2,thyroid
XP_023133890.1,thyroid
XP_023139890.2,thyroid
XP_054865211.1,thyroid
XP_023120970.2,thyroid
XP_023129503.1,thyroid
XP_023123236.2,thyroid
XP_054871894.1,thyroid
XP_035801983.1,thyroid
XP_023153529.2,thyroid
XP_035798586.2,thyroid
XP_023143246.1,thyroid
XP_035811807.1,thyroid
XP_023135944.2,thyroid
XP_023135945.2,thyroid
XP_023146059.1,thyroid
XP_035813154.1,thyroid
XP_054862157.1,thyroid
XP_054862158.1,thyroid
XP_054874374.1,thyroid
XP_054874375.1,thyroid
XP_023124087.2,thyroid
XP_023124088.2,thyroid
XP_023138063.2,thyroid
XP_023151212.2,thyroid
XP_054872561.1,thyroid
XP_023138089.2,thyroid
XP_023143350.2,thyroid
XP_023144287.1,thyroid
XP_023154033.2,thyroid
XP_023144287.1,thyroid
XP_023116956.2,thyroid
XP_023122767.1,thyroid
XP_035802584.1,thyroid
XP_023137208.1,thyroid
XP_054860841.1,thyroid
XP_035807430.2,thyroid
XP_035807431.2,thyroid
XP_023128920.2,thyroid
XP_023149903.1,thyroid
XP_023126661.2,thyroid
XP_023125213.2,thyroid
XP_035804482.2,thyroid
XP_023127646.1,thyroid
