gene,category
ENSDARG00000098686,digestion
ENSDARG00000057064,digestion
ENSDARG00000012871,digestion
ENSDARG00000007276,digestion
ENSDARG00000100969,digestion
ENSDARG00000038891,digestion
ENSDARG00000029841,digestion
ENSDARG00000061981,digestion
ENSDARG00000077573,digestion
ENSDARG00000055014,digestion
ENSDARG00000007916,digestion
ENSDARG00000012013,digestion
ENSDARG00000097285,digestion
ENSDARG00000077688,digestion
ENSDARG00000079393,digestion
ENSDARG00000007813,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
NA,digestion
ENSDARG00000056196,gastrointestinal
ENSDARG00000056719,gastrointestinal
ENSDARG00000013871,gastrointestinal
ENSDARG00000102612,gastrointestinal
ENSDARG00000020212,gastrointestinal
ENSDARG00000016918,gastrointestinal
ENSDARG00000117188,gastrointestinal
ENSDARG00000061120,gastrointestinal
ENSDARG00000018621,gastrointestinal
ENSDARG00000032010,gastrointestinal
ENSDARG00000005894,gastrointestinal
ENSDARG00000114394,gastrointestinal
ENSDARG00000055226,gastrointestinal
ENSDARG00000044528,gastrointestinal
ENSDARG00000100315,gastrointestinal
ENSDARG00000075831,gastrointestinal
ENSDARG00000054343,gastrointestinal
ENSDARG00000110170,gastrointestinal
ENSDARG00000068387,gastrointestinal
ENSDARG00000091560,gastrointestinal
NA,gastrointestinal
NA,gastrointestinal
ENSDARG00000006137,corticoids
ENSDARG00000001975,corticoids
ENSDARG00000054949,corticoids
ENSDARG00000043135,corticoids
ENSDARG00000043135,corticoids
ENSDARG00000043135,corticoids
ENSDARG00000019747,corticoids
ENSDARG00000109751,corticoids
ENSDARG00000071377,corticoids
ENSDARG00000071377,corticoids
ENSDARG00000109751,corticoids
ENSDARG00000033566,corticoids
ENSDARG00000024831,corticoids
ENSDARG00000027657,corticoids
ENSDARG00000027657,corticoids
ENSDARG00000025032,corticoids
ENSDARG00000025032,corticoids
ENSDARG00000116957,corticoids
ENSDARG00000112480,corticoids
ENSDARG00000025032,corticoids
ENSDARG00000116957,corticoids
ENSDARG00000116957,corticoids
ENSDARG00000112480,corticoids
ENSDARG00000112480,corticoids
ENSDARG00000102082,corticoids
ENSDARG00000115513,corticoids
ENSDARG00000115513,corticoids
ENSDARG00000102082,corticoids
ENSDARG00000111864,corticoids
ENSDARG00000111864,corticoids
ENSDARG00000092696,corticoids
ENSDARG00000092696,corticoids
ENSDARG00000003989,corticoids
ENSDARG00000052190,corticoids
ENSDARG00000042014,corticoids
ENSDARG00000042014,corticoids
ENSDARG00000037550,corticoids
ENSDARG00000116555,corticoids
ENSDARG00000093401,corticoids
ENSDARG00000093401,corticoids
ENSDARG00000103704,corticoids
ENSDARG00000092918,corticoids
ENSDARG00000087241,corticoids
ENSDARG00000069307,corticoids
ENSDARG00000069307,corticoids
ENSDARG00000069307,corticoids
ENSDARG00000056410,corticoids
ENSDARG00000115831,corticoids
ENSDARG00000038226,corticoids
ENSDARG00000110341,corticoids
ENSDARG00000110341,corticoids
ENSDARG00000089369,corticoids
NA,corticoids
NA,corticoids
NA,corticoids
NA,corticoids
ENSDARG00000028148,thyroid
ENSDARG00000028148,thyroid
ENSDARG00000021163,thyroid
ENSDARG00000021163,thyroid
ENSDARG00000000151,thyroid
ENSDARG00000000151,thyroid
ENSDARG00000015879,thyroid
ENSDARG00000032578,thyroid
ENSDARG00000032578,thyroid
ENSDARG00000019835,thyroid
ENSDARG00000017929,thyroid
ENSDARG00000006868,thyroid
ENSDARG00000006868,thyroid
ENSDARG00000094857,thyroid
ENSDARG00000116542,thyroid
ENSDARG00000033726,thyroid
ENSDARG00000113129,thyroid
ENSDARG00000035285,thyroid
ENSDARG00000037191,thyroid
ENSDARG00000001437,thyroid
ENSDARG00000116129,thyroid
ENSDARG00000052654,thyroid
ENSDARG00000076546,thyroid
ENSDARG00000037195,thyroid
ENSDARG00000005392,thyroid
ENSDARG00000000966,thyroid
ENSDARG00000016749,thyroid
ENSDARG00000018257,thyroid
ENSDARG00000077404,thyroid
ENSDARG00000062632,thyroid
ENSDARG00000068194,thyroid
ENSDARG00000020984,thyroid
ENSDARG00000020084,thyroid
ENSDARG00000036159,thyroid
ENSDARG00000075340,thyroid
ENSDARG00000095767,thyroid
ENSDARG00000042112,thyroid
ENSDARG00000007412,thyroid
ENSDARG00000045411,betaoxi
ENSDARG00000042658,betaoxi
ENSDARG00000116771,betaoxi
ENSDARG00000115321,betaoxi
ENSDARG00000088357,betaoxi
ENSDARG00000038900,betaoxi
ENSDARG00000038881,betaoxi
ENSDARG00000004687,betaoxi
ENSDARG00000030781,betaoxi
ENSDARG00000058285,betaoxi
ENSDARG00000037943,betaoxi
ENSDARG00000059770,betaoxi
ENSDARG00000016687,betaoxi
ENSDARG00000055620,betaoxi
ENSDARG00000038618,betaoxi
ENSDARG00000112216,betaoxi
ENSDARG00000098174,betaoxi
ENSDARG00000007127,cholesterol
ENSDARG00000014013,cholesterol
ENSDARG00000103226,cholesterol
ENSDARG00000033662,cholesterol
ENSDARG00000033662,cholesterol
ENSDARG00000012468,cholesterol
ENSDARG00000103025,cholesterol
ENSDARG00000110767,cholesterol
ENSDARG00000115922,cholesterol
ENSDARG00000055876,cholesterol
ENSDARG00000042641,cholesterol
ENSDARG00000046098,cholesterol
ENSDARG00000004130,cholesterol
ENSDARG00000099336,cholesterol
ENSDARG00000116444,cholesterol
ENSDARG00000032816,cholesterol
ENSDARG00000013236,cholesterol
ENSDARG00000105206,cholesterol
ENSDARG00000105206,cholesterol
ENSDARG00000099315,cholesterol
ENSDARG00000040890,cholesterol
ENSDARG00000019976,cholesterol
ENSDARG00000030265,cholesterol
ENSDARG00000030265,cholesterol
ENSDARG00000109336,cholesterol
ENSDARG00000052734,cholesterol
ENSDARG00000109336,cholesterol
ENSDARG00000052734,cholesterol
ENSDARG00000063319,cholesterol
ENSDARG00000101062,cholesterol
ENSDARG00000088140,cholesterol
ENSDARG00000061274,cholesterol
ENSDARG00000079946,cholesterol
ENSDARG00000109348,cholesterol
ENSDARG00000070798,cholesterol
ENSDARG00000006120,fatty
