gene,category
ENSDARG00000068242,vision
ENSDARG00000052223,vision
ENSDARG00000113117,vision
ENSDARG00000012125,vision
ENSDARG00000037925,vision
ENSDARG00000042840,vision
ENSDARG00000111827,vision
ENSDARG00000045156,vision
ENSDARG00000111650,vision
ENSDARG00000098475,vision
ENSDARG00000103543,vision
ENSDARG00000029898,vision
ENSDARG00000100747,vision
ENSDARG00000012297,vision
NA,vision
ENSDARG00000057437,ROS
ENSDARG00000060345,ROS
ENSDARG00000060350,ROS
NA,ROS
ENSDARG00000038076,ROS
ENSDARG00000032431,ROS
ENSDARG00000056367,ROS
ENSDARG00000112107,ROS
ENSDARG00000104457,ROS
ENSDARG00000075517,ROS
ENSDARG00000024933,ROS
ENSDARG00000009782,ROS
ENSDARG00000060148,ROS
ENSDARG00000015822,ROS
ENSDARG00000020693,ROS
ENSDARG00000102379,ROS
ENSDARG00000070012,ROS
ENSDARG00000056112,ROS
ENSDARG00000069844,ROS
ENSDARG00000114462,ROS
ENSDARG00000116835,ROS
ENSDARG00000062795,ROS
ENSDARG00000062280,ROS
ENSDARG00000001929,ROS
ENSDARG00000098984,ROS
ENSDARG00000114639,ROS
ENSDARG00000007344,ROS
ENSDARG00000062594,ROS
ENSDARG00000011488,ROS
NA,mitochondria
ENSDARG00000020289,mitochondria
ENSDARG00000033367,mitochondria
ENSDARG00000115899,mitochondria
ENSDARG00000039931,mitochondria
ENSDARG00000038731,mitochondria
ENSDARG00000111673,mitochondria
ENSDARG00000015915,mitochondria
ENSDARG00000003940,mitochondria
ENSDARG00000111141,mitochondria
ENSDARG00000053753,mitochondria
ENSDARG00000015006,mitochondria
ENSDARG00000035181,mitochondria
ENSDARG00000045304,mitochondria
ENSDARG00000021398,mitochondria
ENSDARG00000039203,mitochondria
ENSDARG00000058601,mitochondria
ENSDARG00000063159,mitochondria
ENSDARG00000060394,mitochondria
ENSDARG00000114549,mitochondria
ENSDARG00000001788,mitochondria
ENSDARG00000098355,mitochondria
ENSDARG00000019404,mitochondria
ENSDARG00000045514,mitochondria
ENSDARG00000095897,mitochondria
ENSDARG00000009447,mitochondria
ENSDARG00000063910,mitochondria
ENSDARG00000063905,mitochondria
ENSDARG00000011841,mitochondria
ENSDARG00000017775,mitochondria
ENSDARG00000056008,mitochondria
ENSDARG00000014313,mitochondria
ENSDARG00000011553,mitochondria
ENSDARG00000078113,mitochondria
ENSDARG00000077967,mitochondria
ENSDARG00000068940,mitochondria
ENSDARG00000117205,mitochondria
ENSDARG00000089853,mitochondria
ENSDARG00000101127,mitochondria
ENSDARG00000035557,mitochondria
ENSDARG00000110690,mitochondria
ENSDARG00000009350,mitochondria
ENSDARG00000090219,mitochondria
ENSDARG00000021557,mitochondria
ENSDARG00000100528,mitochondria
ENSDARG00000052703,mitochondria
ENSDARG00000040657,mitochondria
ENSDARG00000027200,mitochondria
ENSDARG00000033609,mitochondria
ENSDARG00000105185,mitochondria
ENSDARG00000040822,mitochondria
ENSDARG00000037871,mitochondria
ENSDARG00000001929,mitochondria
ENSDARG00000023396,mitochondria
ENSDARG00000021555,mitochondria
ENSDARG00000069601,mitochondria
ENSDARG00000099833,mitochondria
ENSDARG00000074481,mitochondria
ENSDARG00000056842,mitochondria
ENSDARG00000069545,mitochondria
ENSDARG00000113990,mitochondria
ENSDARG00000055292,mitochondria
ENSDARG00000103740,mitochondria
ENSDARG00000040971,mitochondria
ENSDARG00000114660,mitochondria
ENSDARG00000044551,mitochondria
ENSDARG00000101661,mitochondria
ENSDARG00000097205,mitochondria
ENSDARG00000075727,mitochondria
ENSDARG00000076559,mitochondria
ENSDARG00000101507,mitochondria
ENSDARG00000114120,mitochondria
ENSDARG00000077728,mitochondria
ENSDARG00000111098,mitochondria
ENSDARG00000074807,mitochondria
ENSDARG00000074031,mitochondria
ENSDARG00000077075,mitochondria
ENSDARG00000100440,mitochondria
ENSDARG00000056128,mitochondria
ENSDARG00000101220,mitochondria
ENSDARG00000020623,mitochondria
ENSDARG00000009779,mitochondria
ENSDARG00000008363,mitochondria
ENSDARG00000030881,mitochondria
ENSDARG00000089307,mitochondria
ENSDARG00000099722,mitochondria
ENSDARG00000104702,mitochondria
ENSDARG00000004870,mitochondria
ENSDARG00000005320,mitochondria
ENSDARG00000041799,mitochondria
ENSDARG00000094516,mitochondria
ENSDARG00000101251,mitochondria
ENSDARG00000019644,mitochondria
ENSDARG00000043848,mitochondria
ENSDARG00000035559,mitochondria
ENSDARG00000115148,mitochondria
ENSDARG00000007127,mitochondria
ENSDARG00000019732,mitochondria
ENSDARG00000096415,mitochondria
ENSDARG00000099358,mitochondria
ENSDARG00000054937,mitochondria
ENSDARG00000114609,mitochondria
ENSDARG00000016138,mitochondria
ENSDARG00000058571,mitochondria
ENSDARG00000115915,mitochondria
ENSDARG00000003462,mitochondria
ENSDARG00000006137,mitochondria
ENSDARG00000038643,mitochondria
ENSDARG00000113125,mitochondria
ENSDARG00000021059,mitochondria
ENSDARG00000018478,mitochondria
ENSDARG00000104068,mitochondria
ENSDARG00000002347,mitochondria
ENSDARG00000111941,mitochondria
ENSDARG00000042894,mitochondria
ENSDARG00000004251,mitochondria
ENSDARG00000027620,mitochondria
ENSDARG00000063924,mitochondria
ENSDARG00000063911,mitochondria
ENSDARG00000063895,mitochondria
ENSDARG00000063899,mitochondria
ENSDARG00000063914,mitochondria
ENSDARG00000063917,mitochondria
ENSDARG00000063921,mitochondria
ENSDARG00000063922,mitochondria
ENSDARG00000063916,mitochondria
ENSDARG00000063908,mitochondria
ENSDARG00000063912,mitochondria
ENSDARG00000036239,mitochondria
ENSDARG00000103799,mitochondria
ENSDARG00000016904,mitochondria
ENSDARG00000043865,mitochondria
ENSDARG00000036109,mitochondria
ENSDARG00000029415,mitochondria
ENSDARG00000008816,mitochondria
ENSDARG00000114252,mitochondria
ENSDARG00000044914,mitochondria
ENSDARG00000115585,mitochondria
ENSDARG00000115777,mitochondria
ENSDARG00000103399,mitochondria
ENSDARG00000038703,mitochondria
ENSDARG00000115664,mitochondria
ENSDARG00000045146,mitochondria
ENSDARG00000109761,mitochondria
ENSDARG00000020887,mitochondria
ENSDARG00000057414,mitochondria
ENSDARG00000024478,mitochondria
ENSDARG00000005926,mitochondria
ENSDARG00000016598,mitochondria
ENSDARG00000113143,mitochondria
ENSDARG00000013333,mitochondria
ENSDARG00000041421,mitochondria
ENSDARG00000013623,mitochondria
ENSDARG00000103364,mitochondria
ENSDARG00000055159,mitochondria
ENSDARG00000002523,mitochondria
ENSDARG00000071691,mitochondria
ENSDARG00000039269,mitochondria
ENSDARG00000092112,mitochondria
ENSDARG00000007294,mitochondria
ENSDARG00000111879,mitochondria
ENSDARG00000001557,mitochondria
ENSDARG00000025468,mitochondria
ENSDARG00000074094,mitochondria
ENSDARG00000045297,mitochondria
ENSDARG00000005891,mitochondria
ENSDARG00000069142,mitochondria
ENSDARG00000113882,mitochondria
ENSDARG00000008107,mitochondria
ENSDARG00000044404,mitochondria
ENSDARG00000109425,mitochondria
ENSDARG00000014915,mitochondria
ENSDARG00000101631,mitochondria
ENSDARG00000034933,mitochondria
ENSDARG00000039649,mitochondria
ENSDARG00000028559,mitochondria
ENSDARG00000099663,mitochondria
ENSDARG00000032970,mitochondria
ENSDARG00000010108,mitochondria
ENSDARG00000099996,mitochondria
ENSDARG00000102874,mitochondria
ENSDARG00000032704,mitochondria
ENSDARG00000019998,mitochondria
ENSDARG00000112372,mitochondria
ENSDARG00000054199,mitochondria
ENSDARG00000069615,mitochondria
ENSDARG00000067966,mitochondria
ENSDARG00000018002,mitochondria
ENSDARG00000038845,mitochondria
ENSDARG00000009837,mitochondria
ENSDARG00000113514,mitochondria
ENSDARG00000024381,mitochondria
ENSDARG00000025233,mitochondria
ENSDARG00000045132,mitochondria
ENSDARG00000041570,mitochondria
ENSDARG00000017960,mitochondria
ENSDARG00000010956,mitochondria
ENSDARG00000097456,mitochondria
ENSDARG00000054907,mitochondria
ENSDARG00000112758,mitochondria
ENSDARG00000022438,mitochondria
ENSDARG00000042644,mitochondria
ENSDARG00000058494,mitochondria
ENSDARG00000111151,mitochondria
ENSDARG00000005840,mitochondria
ENSDARG00000099961,mitochondria
ENSDARG00000104537,mitochondria
ENSDARG00000063344,mitochondria
ENSDARG00000018966,mitochondria
ENSDARG00000112062,mitochondria
ENSDARG00000102055,mitochondria
ENSDARG00000025338,mitochondria
ENSDARG00000059070,mitochondria
ENSDARG00000045568,mitochondria
ENSDARG00000016607,mitochondria
ENSDARG00000100374,mitochondria
ENSDARG00000018146,mitochondria
ENSDARG00000114736,mitochondria
ENSDARG00000068478,mitochondria
ENSDARG00000076836,mitochondria
ENSDARG00000018508,mitochondria
ENSDARG00000009160,mitochondria
ENSDARG00000014230,mitochondria
ENSDARG00000113407,mitochondria
ENSDARG00000056609,mitochondria
ENSDARG00000000651,mitochondria
ENSDARG00000023267,mitochondria
ENSDARG00000042853,mitochondria
ENSDARG00000112920,mitochondria
ENSDARG00000043635,mitochondria
ENSDARG00000001578,mitochondria
ENSDARG00000032102,mitochondria
ENSDARG00000114240,mitochondria
ENSDARG00000022303,mitochondria
ENSDARG00000003035,mitochondria
ENSDARG00000114629,mitochondria
ENSDARG00000101074,mitochondria
ENSDARG00000026766,mitochondria
ENSDARG00000058088,mitochondria
ENSDARG00000117164,mitochondria
ENSDARG00000070487,mitochondria
ENSDARG00000037618,mitochondria
ENSDARG00000006031,mitochondria
ENSDARG00000029036,mitochondria
ENSDARG00000029510,mitochondria
ENSDARG00000115486,mitochondria
ENSDARG00000011404,mitochondria
ENSDARG00000103889,mitochondria
ENSDARG00000109400,mitochondria
ENSDARG00000096749,mitochondria
ENSDARG00000073743,mitochondria
ENSDARG00000045814,mitochondria
ENSDARG00000008472,mitochondria
ENSDARG00000018319,mitochondria
ENSDARG00000045411,mitochondria
ENSDARG00000045858,mitochondria
ENSDARG00000116680,mitochondria
ENSDARG00000089791,mitochondria
ENSDARG00000020387,mitochondria
ENSDARG00000044942,mitochondria
ENSDARG00000114416,mitochondria
ENSDARG00000115767,mitochondria
ENSDARG00000101791,mitochondria
ENSDARG00000104172,mitochondria
ENSDARG00000031366,mitochondria
ENSDARG00000035544,mitochondria
ENSDARG00000007449,mitochondria
ENSDARG00000037860,mitochondria
ENSDARG00000042777,mitochondria
ENSDARG00000022845,mitochondria
ENSDARG00000112666,mitochondria
ENSDARG00000051756,mitochondria
ENSDARG00000087401,mitochondria
ENSDARG00000057110,mitochondria
ENSDARG00000032277,mitochondria
ENSDARG00000079219,mitochondria
ENSDARG00000031098,mitochondria
ENSDARG00000109900,mitochondria
ENSDARG00000058041,mitochondria
ENSDARG00000111900,mitochondria
ENSDARG00000028889,mitochondria
ENSDARG00000009806,mitochondria
ENSDARG00000056163,mitochondria
ENSDARG00000011272,mitochondria
ENSDARG00000044420,mitochondria
ENSDARG00000059304,mitochondria
ENSDARG00000112202,mitochondria
ENSDARG00000007285,mitochondria
ENSDARG00000010717,mitochondria
ENSDARG00000111874,mitochondria
ENSDARG00000009040,mitochondria
ENSDARG00000045490,mitochondria
ENSDARG00000038076,mitochondria
ENSDARG00000014506,mitochondria
ENSDARG00000022509,mitochondria
ENSDARG00000102822,mitochondria
ENSDARG00000043511,mitochondria
ENSDARG00000116085,mitochondria
ENSDARG00000045351,mitochondria
ENSDARG00000052304,mitochondria
ENSDARG00000110068,mitochondria
ENSDARG00000033789,mitochondria
ENSDARG00000010113,mitochondria
ENSDARG00000012194,mitochondria
ENSDARG00000079128,mitochondria
ENSDARG00000005092,mitochondria
ENSDARG00000016721,mitochondria
ENSDARG00000030278,mitochondria
ENSDARG00000075132,mitochondria
ENSDARG00000038028,mitochondria
ENSDARG00000042527,mitochondria
ENSDARG00000059054,mitochondria
ENSDARG00000025383,mitochondria
ENSDARG00000114401,mitochondria
ENSDARG00000043105,mitochondria
ENSDARG00000103135,mitochondria
ENSDARG00000058102,mitochondria
ENSDARG00000112110,mitochondria
ENSDARG00000068886,mitochondria
ENSDARG00000038207,mitochondria
ENSDARG00000007959,mitochondria
ENSDARG00000032431,mitochondria
ENSDARG00000102736,mitochondria
ENSDARG00000088357,mitochondria
ENSDARG00000115321,mitochondria
ENSDARG00000012295,mitochondria
ENSDARG00000102295,mitochondria
ENSDARG00000008785,mitochondria
ENSDARG00000023759,mitochondria
ENSDARG00000016093,mitochondria
ENSDARG00000110282,mitochondria
ENSDARG00000039338,mitochondria
ENSDARG00000005643,mitochondria
ENSDARG00000033802,mitochondria
ENSDARG00000012388,mitochondria
ENSDARG00000037867,mitochondria
ENSDARG00000005870,mitochondria
ENSDARG00000090195,mitochondria
ENSDARG00000004282,mitochondria
ENSDARG00000034777,mitochondria
ENSDARG00000009074,mitochondria
ENSDARG00000068125,mitochondria
ENSDARG00000054533,mitochondria
ENSDARG00000017661,mitochondria
ENSDARG00000017489,mitochondria
ENSDARG00000010610,mitochondria
ENSDARG00000009020,mitochondria
ENSDARG00000053518,mitochondria
ENSDARG00000023712,mitochondria
ENSDARG00000018944,mitochondria
ENSDARG00000018459,mitochondria
ENSDARG00000038910,mitochondria
ENSDARG00000017571,mitochondria
ENSDARG00000005713,mitochondria
ENSDARG00000038000,mitochondria
ENSDARG00000036721,mitochondria
ENSDARG00000009250,mitochondria
ENSDARG00000038900,mitochondria
ENSDARG00000043665,mitochondria
ENSDARG00000056108,mitochondria
ENSDARG00000116304,mitochondria
ENSDARG00000005359,mitochondria
ENSDARG00000019332,mitochondria
ENSDARG00000110786,mitochondria
ENSDARG00000113951,mitochondria
ENSDARG00000103163,mitochondria
ENSDARG00000032997,mitochondria
ENSDARG00000038881,mitochondria
ENSDARG00000101482,mitochondria
ENSDARG00000116757,mitochondria
ENSDARG00000007745,mitochondria
ENSDARG00000060921,mitochondria
ENSDARG00000114917,mitochondria
ENSDARG00000058226,mitochondria
ENSDARG00000043371,mitochondria
ENSDARG00000003695,mitochondria
ENSDARG00000010572,mitochondria
ENSDARG00000006546,mitochondria
ENSDARG00000103670,mitochondria
ENSDARG00000033666,mitochondria
ENSDARG00000041068,mitochondria
ENSDARG00000114282,mitochondria
ENSDARG00000030573,mitochondria
ENSDARG00000045843,mitochondria
ENSDARG00000044809,mitochondria
ENSDARG00000109480,mitochondria
ENSDARG00000039452,mitochondria
ENSDARG00000110447,mitochondria
ENSDARG00000112051,mitochondria
ENSDARG00000038563,mitochondria
ENSDARG00000115745,mitochondria
ENSDARG00000019223,mitochondria
ENSDARG00000021895,mitochondria
ENSDARG00000057855,mitochondria
ENSDARG00000110763,mitochondria
ENSDARG00000070866,mitochondria
ENSDARG00000032919,mitochondria
ENSDARG00000045696,mitochondria
ENSDARG00000111947,mitochondria
ENSDARG00000044562,mitochondria
ENSDARG00000007786,mitochondria
ENSDARG00000036329,mitochondria
ENSDARG00000111888,mitochondria
ENSDARG00000044753,mitochondria
ENSDARG00000110992,mitochondria
ENSDARG00000075297,mitochondria
ENSDARG00000116975,mitochondria
ENSDARG00000034174,mitochondria
ENSDARG00000115754,mitochondria
ENSDARG00000022165,mitochondria
ENSDARG00000110212,mitochondria
ENSDARG00000020015,mitochondria
ENSDARG00000036764,mitochondria
ENSDARG00000015856,mitochondria
ENSDARG00000021250,mitochondria
ENSDARG00000053485,mitochondria
ENSDARG00000021154,mitochondria
ENSDARG00000093448,mitochondria
ENSDARG00000019222,mitochondria
ENSDARG00000025340,mitochondria
ENSDARG00000039719,mitochondria
ENSDARG00000117175,mitochondria
ENSDARG00000076334,mitochondria
ENSDARG00000054821,mitochondria
ENSDARG00000003869,mitochondria
ENSDARG00000041602,mitochondria
ENSDARG00000040300,mitochondria
ENSDARG00000058297,mitochondria
ENSDARG00000071076,mitochondria
ENSDARG00000027984,mitochondria
ENSDARG00000109289,mitochondria
ENSDARG00000055712,mitochondria
ENSDARG00000029064,mitochondria
ENSDARG00000116372,mitochondria
ENSDARG00000028131,mitochondria
ENSDARG00000016307,mitochondria
ENSDARG00000016745,mitochondria
ENSDARG00000114790,mitochondria
ENSDARG00000056510,mitochondria
ENSDARG00000056367,mitochondria
ENSDARG00000112107,mitochondria
ENSDARG00000035882,mitochondria
ENSDARG00000113560,mitochondria
ENSDARG00000052712,mitochondria
ENSDARG00000105187,mitochondria
ENSDARG00000100021,mitochondria
ENSDARG00000039684,mitochondria
ENSDARG00000003207,mitochondria
ENSDARG00000058806,mitochondria
ENSDARG00000069857,mitochondria
ENSDARG00000110000,mitochondria
ENSDARG00000102412,mitochondria
ENSDARG00000099079,mitochondria
ENSDARG00000014794,mitochondria
ENSDARG00000054849,mitochondria
ENSDARG00000069116,mitochondria
ENSDARG00000017728,mitochondria
ENSDARG00000116124,mitochondria
ENSDARG00000113551,mitochondria
ENSDARG00000045230,mitochondria
ENSDARG00000103566,mitochondria
ENSDARG00000099997,mitochondria
ENSDARG00000020123,mitochondria
ENSDARG00000046127,mitochondria
ENSDARG00000111531,mitochondria
ENSDARG00000028982,mitochondria
ENSDARG00000110281,mitochondria
ENSDARG00000013063,mitochondria
ENSDARG00000101306,mitochondria
ENSDARG00000036684,mitochondria
ENSDARG00000007181,mitochondria
ENSDARG00000113531,mitochondria
ENSDARG00000012674,mitochondria
ENSDARG00000112436,mitochondria
ENSDARG00000030765,mitochondria
ENSDARG00000041400,mitochondria
ENSDARG00000019963,mitochondria
ENSDARG00000033376,mitochondria
ENSDARG00000110078,mitochondria
ENSDARG00000039915,mitochondria
ENSDARG00000042975,mitochondria
ENSDARG00000069494,mitochondria
ENSDARG00000004436,mitochondria
ENSDARG00000033973,mitochondria
ENSDARG00000100718,mitochondria
ENSDARG00000114435,mitochondria
ENSDARG00000023672,mitochondria
ENSDARG00000114203,mitochondria
ENSDARG00000102906,mitochondria
ENSDARG00000045733,mitochondria
ENSDARG00000112743,mitochondria
ENSDARG00000110622,mitochondria
ENSDARG00000030781,mitochondria
ENSDARG00000045888,mitochondria
ENSDARG00000036438,mitochondria
ENSDARG00000004925,mitochondria
ENSDARG00000059234,mitochondria
ENSDARG00000030139,mitochondria
ENSDARG00000069501,mitochondria
ENSDARG00000035618,mitochondria
ENSDARG00000003693,mitochondria
ENSDARG00000075931,mitochondria
ENSDARG00000008568,mitochondria
ENSDARG00000043554,mitochondria
ENSDARG00000026338,mitochondria
ENSDARG00000006207,mitochondria
ENSDARG00000070157,mitochondria
ENSDARG00000056583,mitochondria
ENSDARG00000008920,mitochondria
ENSDARG00000037679,mitochondria
ENSDARG00000054588,mitochondria
ENSDARG00000116120,mitochondria
ENSDARG00000015543,mitochondria
ENSDARG00000052104,mitochondria
ENSDARG00000003206,mitochondria
ENSDARG00000036092,mitochondria
ENSDARG00000116835,mitochondria
ENSDARG00000058285,mitochondria
ENSDARG00000032618,mitochondria
ENSDARG00000113133,mitochondria
ENSDARG00000026444,mitochondria
ENSDARG00000109942,mitochondria
ENSDARG00000010862,mitochondria
ENSDARG00000012915,mitochondria
ENSDARG00000109720,mitochondria
ENSDARG00000020596,mitochondria
ENSDARG00000017781,mitochondria
ENSDARG00000044807,mitochondria
ENSDARG00000070801,mitochondria
ENSDARG00000035608,mitochondria
ENSDARG00000041575,mitochondria
ENSDARG00000039681,mitochondria
ENSDARG00000045927,mitochondria
ENSDARG00000011122,mitochondria
ENSDARG00000033451,mitochondria
ENSDARG00000045978,mitochondria
ENSDARG00000034060,mitochondria
ENSDARG00000002305,mitochondria
ENSDARG00000102607,mitochondria
ENSDARG00000012829,mitochondria
ENSDARG00000041736,mitochondria
ENSDARG00000051889,mitochondria
ENSDARG00000013861,mitochondria
ENSDARG00000016415,mitochondria
ENSDARG00000016656,mitochondria
ENSDARG00000038577,mitochondria
ENSDARG00000068265,mitochondria
ENSDARG00000057272,mitochondria
ENSDARG00000061761,mitochondria
ENSDARG00000115657,mitochondria
ENSDARG00000039241,mitochondria
ENSDARG00000052343,mitochondria
ENSDARG00000071032,mitochondria
ENSDARG00000016979,mitochondria
ENSDARG00000010655,mitochondria
ENSDARG00000025549,mitochondria
ENSDARG00000011801,mitochondria
ENSDARG00000026835,mitochondria
ENSDARG00000040186,mitochondria
ENSDARG00000038456,mitochondria
ENSDARG00000037309,mitochondria
ENSDARG00000110343,mitochondria
ENSDARG00000039346,mitochondria
ENSDARG00000091655,mitochondria
ENSDARG00000111225,mitochondria
ENSDARG00000045091,mitochondria
ENSDARG00000112205,mitochondria
ENSDARG00000070723,mitochondria
ENSDARG00000104173,mitochondria
ENSDARG00000104771,mitochondria
ENSDARG00000101561,mitochondria
ENSDARG00000110773,mitochondria
ENSDARG00000102115,mitochondria
ENSDARG00000035905,mitochondria
ENSDARG00000070447,mitochondria
ENSDARG00000089357,mitochondria
ENSDARG00000044142,mitochondria
ENSDARG00000109700,mitochondria
ENSDARG00000039310,mitochondria
ENSDARG00000022718,mitochondria
ENSDARG00000039374,mitochondria
ENSDARG00000111985,mitochondria
ENSDARG00000054929,mitochondria
ENSDARG00000056672,mitochondria
ENSDARG00000041306,mitochondria
ENSDARG00000039136,mitochondria
ENSDARG00000012325,mitochondria
ENSDARG00000035391,mitochondria
ENSDARG00000115227,mitochondria
ENSDARG00000102887,mitochondria
ENSDARG00000052371,mitochondria
ENSDARG00000020618,mitochondria
ENSDARG00000058857,mitochondria
ENSDARG00000114095,mitochondria
ENSDARG00000037943,mitochondria
ENSDARG00000016543,mitochondria
ENSDARG00000109980,mitochondria
ENSDARG00000016964,mitochondria
ENSDARG00000056141,mitochondria
ENSDARG00000007065,mitochondria
ENSDARG00000002071,mitochondria
ENSDARG00000039350,mitochondria
ENSDARG00000053466,mitochondria
ENSDARG00000043898,mitochondria
ENSDARG00000032326,mitochondria
ENSDARG00000062592,mitochondria
ENSDARG00000023648,mitochondria
ENSDARG00000017034,mitochondria
ENSDARG00000042799,mitochondria
ENSDARG00000029088,mitochondria
ENSDARG00000103019,mitochondria
ENSDARG00000103856,mitochondria
ENSDARG00000034309,mitochondria
ENSDARG00000113352,mitochondria
ENSDARG00000057128,mitochondria
ENSDARG00000052462,mitochondria
ENSDARG00000110128,mitochondria
ENSDARG00000032876,mitochondria
ENSDARG00000113110,mitochondria
ENSDARG00000013023,mitochondria
ENSDARG00000019236,mitochondria
ENSDARG00000114106,mitochondria
ENSDARG00000099560,mitochondria
ENSDARG00000040803,mitochondria
ENSDARG00000043734,mitochondria
ENSDARG00000057435,mitochondria
ENSDARG00000117070,mitochondria
ENSDARG00000006290,mitochondria
ENSDARG00000100116,mitochondria
ENSDARG00000011152,mitochondria
ENSDARG00000025032,mitochondria
ENSDARG00000116957,mitochondria
ENSDARG00000112480,mitochondria
ENSDARG00000031657,mitochondria
ENSDARG00000058824,mitochondria
ENSDARG00000069850,mitochondria
ENSDARG00000110227,mitochondria
ENSDARG00000002264,mitochondria
ENSDARG00000018650,mitochondria
ENSDARG00000111427,mitochondria
ENSDARG00000027465,mitochondria
ENSDARG00000054856,mitochondria
ENSDARG00000019715,mitochondria
ENSDARG00000112086,mitochondria
ENSDARG00000088383,mitochondria
ENSDARG00000053217,mitochondria
ENSDARG00000055064,mitochondria
ENSDARG00000021984,mitochondria
ENSDARG00000011146,mitochondria
ENSDARG00000105214,mitochondria
ENSDARG00000028067,mitochondria
ENSDARG00000019355,mitochondria
ENSDARG00000077547,mitochondria
ENSDARG00000075368,mitochondria
ENSDARG00000075057,mitochondria
ENSDARG00000104111,mitochondria
ENSDARG00000043154,mitochondria
ENSDARG00000013128,mitochondria
ENSDARG00000042902,mitochondria
ENSDARG00000069832,mitochondria
ENSDARG00000115771,mitochondria
ENSDARG00000006062,mitochondria
ENSDARG00000061994,mitochondria
ENSDARG00000074356,mitochondria
ENSDARG00000063213,mitochondria
ENSDARG00000113856,mitochondria
ENSDARG00000042469,mitochondria
ENSDARG00000116793,mitochondria
ENSDARG00000033273,mitochondria
ENSDARG00000111555,mitochondria
ENSDARG00000053805,mitochondria
ENSDARG00000005448,mitochondria
ENSDARG00000077299,mitochondria
ENSDARG00000069301,mitochondria
ENSDARG00000113926,mitochondria
ENSDARG00000025500,mitochondria
ENSDARG00000074690,mitochondria
ENSDARG00000060041,mitochondria
ENSDARG00000110159,mitochondria
ENSDARG00000113788,mitochondria
ENSDARG00000059406,mitochondria
ENSDARG00000102783,mitochondria
ENSDARG00000099579,mitochondria
ENSDARG00000043970,mitochondria
ENSDARG00000092873,mitochondria
ENSDARG00000091304,mitochondria
ENSDARG00000073724,mitochondria
ENSDARG00000095273,mitochondria
ENSDARG00000055339,mitochondria
ENSDARG00000068876,mitochondria
ENSDARG00000056328,mitochondria
ENSDARG00000029100,mitochondria
ENSDARG00000077193,mitochondria
ENSDARG00000114959,mitochondria
ENSDARG00000075743,mitochondria
ENSDARG00000114962,mitochondria
ENSDARG00000003592,mitochondria
ENSDARG00000059770,mitochondria
ENSDARG00000074507,mitochondria
ENSDARG00000005561,mitochondria
ENSDARG00000077900,mitochondria
ENSDARG00000117091,mitochondria
ENSDARG00000073764,mitochondria
ENSDARG00000075151,mitochondria
ENSDARG00000074754,mitochondria
ENSDARG00000044092,mitochondria
ENSDARG00000112469,mitochondria
ENSDARG00000092660,mitochondria
ENSDARG00000013009,mitochondria
ENSDARG00000074217,mitochondria
ENSDARG00000041951,mitochondria
ENSDARG00000075422,mitochondria
ENSDARG00000112242,mitochondria
ENSDARG00000109386,mitochondria
ENSDARG00000044925,mitochondria
ENSDARG00000112362,mitochondria
ENSDARG00000110547,mitochondria
ENSDARG00000076308,mitochondria
ENSDARG00000071378,mitochondria
ENSDARG00000040064,mitochondria
ENSDARG00000093382,mitochondria
ENSDARG00000112204,mitochondria
ENSDARG00000115720,mitochondria
ENSDARG00000070894,mitochondria
ENSDARG00000111140,mitochondria
ENSDARG00000078500,mitochondria
ENSDARG00000093381,mitochondria
ENSDARG00000113645,mitochondria
ENSDARG00000010021,mitochondria
ENSDARG00000039878,mitochondria
ENSDARG00000078512,mitochondria
ENSDARG00000114071,mitochondria
ENSDARG00000069290,mitochondria
ENSDARG00000112031,mitochondria
ENSDARG00000069649,mitochondria
ENSDARG00000062594,mitochondria
ENSDARG00000078759,mitochondria
ENSDARG00000116364,mitochondria
ENSDARG00000115147,mitochondria
ENSDARG00000062054,mitochondria
ENSDARG00000117154,mitochondria
ENSDARG00000014527,mitochondria
ENSDARG00000056270,mitochondria
ENSDARG00000115757,mitochondria
ENSDARG00000054319,mitochondria
ENSDARG00000071594,mitochondria
ENSDARG00000070061,mitochondria
ENSDARG00000058208,mitochondria
ENSDARG00000111558,mitochondria
ENSDARG00000110562,mitochondria
ENSDARG00000093005,mitochondria
ENSDARG00000078847,mitochondria
ENSDARG00000102471,mitochondria
ENSDARG00000060522,mitochondria
ENSDARG00000054848,mitochondria
ENSDARG00000063358,mitochondria
ENSDARG00000011466,mitochondria
ENSDARG00000078593,mitochondria
ENSDARG00000112243,mitochondria
ENSDARG00000114725,mitochondria
ENSDARG00000075570,mitochondria
ENSDARG00000068156,mitochondria
ENSDARG00000098441,mitochondria
ENSDARG00000079122,mitochondria
ENSDARG00000109756,mitochondria
ENSDARG00000045827,mitochondria
ENSDARG00000063624,mitochondria
ENSDARG00000103313,mitochondria
ENSDARG00000114871,mitochondria
ENSDARG00000109702,mitochondria
ENSDARG00000026137,mitochondria
ENSDARG00000062788,mitochondria
ENSDARG00000076011,mitochondria
ENSDARG00000038956,mitochondria
ENSDARG00000113144,mitochondria
ENSDARG00000075768,mitochondria
ENSDARG00000043467,mitochondria
ENSDARG00000074719,mitochondria
ENSDARG00000031587,mitochondria
ENSDARG00000041708,mitochondria
ENSDARG00000112879,mitochondria
ENSDARG00000062241,mitochondria
ENSDARG00000103595,mitochondria
ENSDARG00000062237,mitochondria
ENSDARG00000104179,mitochondria
ENSDARG00000035985,mitochondria
